CP4 GF - 			172.16.98.100
CP4 17th - 			172.16.98.101

TSW-770:
Main Gym - 			172.16.98.110
Play Space - 			172.16.98.111
Leasing Center - 		172.16.98.112
Resident's Lounge - 		172.16.98.113
Meeting Room 1 - 		172.16.98.114
Meeting Room 2 - 		172.16.98.115
Meeting Room 3 - 		172.16.98.116
Bar/Lounge - 			172.16.98.140
Demonstration Kitchen - 	172.16.98.141
Indoor Lounge - 		172.16.98.142

TVs:
Main Gym 1 - 			172.16.98.117
Main Gym 2 - 			172.16.98.118
Main Gym 3 - 			172.16.98.119
Main Gym 4 - 			172.16.98.120
Play Space - 			172.16.98.121
Resident's Lounge - 		172.16.98.122
Meeting Room 1 - 		172.16.98.123
Meeting Room 2 - 		172.16.98.124
Meeting Room 3 - 		172.16.98.125
Main Gym 5 - 			172.16.98.126
Staff Room - 			172.16.98.127
Bar/Lounge - 			172.16.98.143
Indoor Lounge - 		172.16.98.144

NVXs:
Main Gym 1 - 			172.16.98.128
Main Gym 2 - 			172.16.98.129
Main Gym 3 - 			172.16.98.130
Main Gym 4 - 			172.16.98.131
Main Gym 5- 			172.16.98.132
GF Sky Transmitter - 		172.16.98.133
Bar/Lounge - 			172.16.98.145
External -			172.16.98.146
17th Sky1 Transmitter - 	172.16.98.147
17th Sky2 Transmitter - 	172.16.98.148

Prism 8x8
Ground Floor - 			172.19.98.150
10th Floor - 			172.19.98.151
17th Floor - 			172.19.98.152
